k_phi,k_omega,phi_error_band_rad,settling_time_phi_error_band_s
6.0,2.0,0.1,0.5902777777777778
8.0,2.0,0.1,1.2777777777777777
10.0,2.0,0.1,1.222222222222222
12.0,2.0,0.1,1.1527777777777777
14.0,2.0,0.1,1.0833333333333333
16.0,2.0,0.1,1.0277777777777777
18.0,2.0,0.1,0.9791666666666666
20.0,2.0,0.1,0.9305555555555555
22.0,2.0,0.1,0.8958333333333333
24.0,2.0,0.1,0.861111111111111
6.0,3.0,0.1,0.6875
8.0,3.0,0.1,0.5694444444444444
10.0,3.0,0.1,0.4930555555555555
12.0,3.0,0.1,0.4375
14.0,3.0,0.1,0.40277777777777773
16.0,3.0,0.1,0.3680555555555555
18.0,3.0,0.1,0.861111111111111
20.0,3.0,0.1,0.8472222222222222
22.0,3.0,0.1,0.8263888888888888
24.0,3.0,0.1,0.8055555555555555
6.0,4.0,0.1,0.8125
8.0,4.0,0.1,0.6527777777777778
10.0,4.0,0.1,0.5555555555555556
12.0,4.0,0.1,0.4861111111111111
14.0,4.0,0.1,0.4375
16.0,4.0,0.1,0.40277777777777773
18.0,4.0,0.1,0.375
20.0,4.0,0.1,0.35416666666666663
22.0,4.0,0.1,0.3333333333333333
24.0,4.0,0.1,0.3125
6.0,5.0,0.1,0.9722222222222222
8.0,5.0,0.1,0.7569444444444444
10.0,5.0,0.1,0.6319444444444444
12.0,5.0,0.1,0.548611111111111
14.0,5.0,0.1,0.4861111111111111
16.0,5.0,0.1,0.4444444444444444
18.0,5.0,0.1,0.4097222222222222
20.0,5.0,0.1,0.3819444444444444
22.0,5.0,0.1,0.35416666666666663
24.0,5.0,0.1,0.3333333333333333
6.0,6.0,0.1,1.159722222222222
8.0,6.0,0.1,0.8819444444444444
10.0,6.0,0.1,0.7222222222222222
12.0,6.0,0.1,0.6180555555555555
14.0,6.0,0.1,0.5416666666666666
16.0,6.0,0.1,0.4861111111111111
18.0,6.0,0.1,0.4444444444444444
20.0,6.0,0.1,0.4097222222222222
22.0,6.0,0.1,0.3819444444444444
24.0,6.0,0.1,0.3611111111111111
6.0,7.0,0.1,1.3680555555555556
8.0,7.0,0.1,1.0277777777777777
10.0,7.0,0.1,0.8263888888888888
12.0,7.0,0.1,0.7013888888888888
14.0,7.0,0.1,0.611111111111111
16.0,7.0,0.1,0.5416666666666666
18.0,7.0,0.1,0.4930555555555555
20.0,7.0,0.1,0.45138888888888884
22.0,7.0,0.1,0.41666666666666663
24.0,7.0,0.1,0.38888888888888884
